Scenario - mult1A.sce
Logfile written - 06/28/2017 12:19:55

Subject	Trial	Event Type	Code	block(str)	triplet(str)	object(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
00	213	Picture	t23;7	t23;7			2209897	0	1	8105	1	0	8000	other	0
00	214	Picture	t17;7	t17;7			2220004	0	1	8105	1	0	8000	other	0
00	215	Picture	t22;8	t22;8			2230110	0	1	8105	1	0	8000	other	0
00	216	Picture	t2;8	t2;8			2240216	0	1	8105	1	0	8000	other	0
00	217	Picture	t16;8	t16;8			2250323	0	1	8105	1	0	8000	other	0
00	218	Picture	t11;7	t11;7			2260429	0	1	8105	1	0	8000	other	0
00	219	Picture	t23;7	t23;7			2270536	0	1	8105	1	0	8000	other	0
00	220	Picture	t17;7	t17;7			2280642	0	1	8105	1	0	8000	other	0
00	221	Picture	t1;5	t1;5			2290748	0	1	8105	1	0	8000	other	0
00	222	Picture	t4;5	t4;5			2300855	0	1	8105	1	0	8000	other	0
00	223	Picture	t9;5	t9;5			2310961	0	1	8105	1	0	8000	other	0
00	224	Picture	t13;6	t13;6			2321068	0	1	8105	1	0	8000	other	0
00	225	Picture	t12;6	t12;6			2331174	0	1	8105	1	0	8000	other	0
00	226	Picture	t3;6	t3;6			2341281	0	1	8105	1	0	8000	other	0
00	227	Picture	t22;8	t22;8			2351387	0	1	8105	1	0	8000	other	0
00	228	Picture	t2;8	t2;8			2361493	0	1	8105	1	0	8000	other	0
00	229	Picture	t16;8	t16;8			2371600	0	1	8105	1	0	8000	other	0
00	230	Picture	t14;2	t14;2			2381706	0	1	8105	1	0	8000	other	0
00	231	Picture	t8;2	t8;2			2391813	0	1	8105	1	0	8000	other	0
00	232	Picture	t6;2	t6;2			2401919	0	1	8105	1	0	8000	other	0
00	233	Picture	t5;1	t5;1			2412025	0	1	8105	1	0	8000	other	0
00	234	Picture	t21;1	t21;1			2422132	0	1	8105	1	0	8000	other	0
00	235	Picture	t18;1	t18;1			2432238	0	1	8105	1	0	8000	other	0
00	236	Picture	t20;4	t20;4			2442344	0	1	8105	2	0	8000	other	0
00	237	Picture	t15;4	t15;4			2452451	0	1	8105	1	0	8000	other	0
00	238	Picture	t7;4	t7;4			2462558	0	1	8105	1	0	8000	other	0
00	239	Picture	t24;3	t24;3			2472664	0	1	8105	1	0	8000	other	0
00	240	Picture	t10;3	t10;3			2482770	0	1	8105	1	0	8000	other	0
00	241	Picture	t19;3	t19;3			2492877	0	1	8105	1	0	8000	other	0
00	242	Picture	t14;2	t14;2			2502983	0	1	8105	1	0	8000	other	0
00	243	Picture	t8;2	t8;2			2513090	0	1	8105	1	0	8000	other	0
00	244	Picture	t6;2	t6;2			2523196	0	1	8105	1	0	8000	other	0
00	245	Picture	t13;6	t13;6			2533303	0	1	8105	1	0	8000	other	0
00	246	Picture	t12;6	t12;6			2543409	0	1	8105	1	0	8000	other	0
00	247	Picture	t3;6	t3;6			2553515	0	1	8105	1	0	8000	other	0
00	248	Picture	t1;5	t1;5			2563622	0	1	8105	1	0	8000	other	0
00	249	Picture	t4;5	t4;5			2573728	0	1	8105	1	0	8000	other	0
00	250	Picture	t9;5	t9;5			2583834	0	1	8106	2	0	8000	other	0
00	251	Picture	t22;8	t22;8			2593941	0	1	8105	1	0	8000	other	0
00	252	Picture	t2;8	t2;8			2604047	0	1	8105	1	0	8000	other	0
00	253	Picture	t16;8	t16;8			2614154	0	1	8105	1	0	8000	other	0
00	254	Picture	t24;3	t24;3			2624260	0	1	8105	1	0	8000	other	0
00	255	Picture	t10;3	t10;3			2634367	0	1	8105	1	0	8000	other	0
00	256	Picture	t19;3	t19;3			2644473	0	1	8105	1	0	8000	other	0
00	257	Picture	t20;4	t20;4			2654580	0	1	8105	1	0	8000	other	0
00	258	Picture	t15;4	t15;4			2664686	0	1	8105	1	0	8000	other	0
00	259	Picture	t7;4	t7;4			2674792	0	1	8105	1	0	8000	other	0
00	260	Picture	t11;7	t11;7			2684899	0	1	8105	1	0	8000	other	0
00	261	Picture	t23;7	t23;7			2695005	0	1	8105	1	0	8000	other	0
00	262	Picture	t17;7	t17;7			2705112	0	1	8105	1	0	8000	other	0
00	263	Picture	t5;1	t5;1			2715218	0	1	8105	1	0	8000	other	0
00	264	Picture	t21;1	t21;1			2725324	0	1	8105	1	0	8000	other	0
00	265	Picture	t18;1	t18;1			2735431	0	1	8105	1	0	8000	other	0
00	266	Picture	t11;7	t11;7			2745537	0	1	8105	1	0	8000	other	0
00	267	Picture	t23;7	t23;7			2755644	0	1	8105	1	0	8000	other	0
00	268	Picture	t17;7	t17;7			2765750	0	1	8105	1	0	8000	other	0
00	269	Picture	t24;3	t24;3			2775857	0	1	8105	1	0	8000	other	0
00	270	Picture	t10;3	t10;3			2785963	0	1	8105	1	0	8000	other	0
00	271	Picture	t19;3	t19;3			2796069	0	1	8105	1	0	8000	other	0
00	272	Picture	t5;1	t5;1			2806176	0	1	8105	1	0	8000	other	0
00	273	Picture	t21;1	t21;1			2816282	0	1	8105	1	0	8000	other	0
00	274	Picture	t18;1	t18;1			2826389	0	1	8105	1	0	8000	other	0
00	275	Picture	t13;6	t13;6			2836495	0	1	8105	1	0	8000	other	0
00	276	Picture	t12;6	t12;6			2846601	0	1	8105	1	0	8000	other	0
00	277	Picture	t3;6	t3;6			2856708	0	1	8105	1	0	8000	other	0
00	278	Picture	t20;4	t20;4			2866814	0	1	8105	1	0	8000	other	0
00	279	Picture	t15;4	t15;4			2876921	0	1	8105	1	0	8000	other	0
00	280	Picture	t7;4	t7;4			2887027	0	1	8105	1	0	8000	other	0
00	281	Picture	t14;2	t14;2			2897134	0	1	8105	1	0	8000	other	0
00	282	Picture	t8;2	t8;2			2907240	0	1	8105	1	0	8000	other	0
00	283	Picture	t6;2	t6;2			2917346	0	1	8105	1	0	8000	other	0
00	284	Picture	t22;8	t22;8			2927453	0	1	8105	1	0	8000	other	0
00	285	Picture	t2;8	t2;8			2937559	0	1	8105	1	0	8000	other	0
00	286	Picture	t16;8	t16;8			2947666	0	1	8105	1	0	8000	other	0
00	287	Picture	t1;5	t1;5			2957772	0	1	8105	1	0	8000	other	0
00	288	Picture	t4;5	t4;5			2967879	0	1	8105	1	0	8000	other	0
00	289	Picture	t9;5	t9;5			2977985	0	1	8105	1	0	8000	other	0
00	290	Picture	t20;4	t20;4			2988091	0	1	8105	1	0	8000	other	0
00	291	Picture	t15;4	t15;4			2998198	0	1	8105	2	0	8000	other	0
00	292	Picture	t7;4	t7;4			3008304	0	1	8105	1	0	8000	other	0
00	293	Picture	t24;3	t24;3			3018411	0	1	8105	1	0	8000	other	0
00	294	Picture	t10;3	t10;3			3028517	0	1	8105	1	0	8000	other	0
00	295	Picture	t19;3	t19;3			3038624	0	1	8105	1	0	8000	other	0
00	296	Picture	t1;5	t1;5			3048730	0	1	8105	1	0	8000	other	0
00	297	Picture	t4;5	t4;5			3058836	0	1	8105	1	0	8000	other	0
00	298	Picture	t9;5	t9;5			3068943	0	1	8105	1	0	8000	other	0
00	299	Picture	t13;6	t13;6			3079049	0	1	8105	1	0	8000	other	0
00	300	Picture	t12;6	t12;6			3089156	0	1	8105	1	0	8000	other	0
00	301	Picture	t3;6	t3;6			3099262	0	1	8105	1	0	8000	other	0
00	302	Picture	t11;7	t11;7			3109368	0	1	8105	1	0	8000	other	0
00	303	Picture	t23;7	t23;7			3119475	0	1	8105	1	0	8000	other	0
00	304	Picture	t17;7	t17;7			3129581	0	1	8105	1	0	8000	other	0
00	305	Picture	t5;1	t5;1			3139688	0	1	8105	1	0	8000	other	0
00	306	Picture	t21;1	t21;1			3149794	0	1	8105	1	0	8000	other	0
00	307	Picture	t18;1	t18;1			3159901	0	1	8105	1	0	8000	other	0
